"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","MSRP_range"
"1","BMW","1 Series M",2011,"premium unleaded (required)",335,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",26,19,3916,46135,"(4e+04,6e+04]"
"2","BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,40650,"(4e+04,6e+04]"
"3","BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,36350,"(2e+04,4e+04]"
"4","BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,29450,"(2e+04,4e+04]"
"5","BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,34500,"(2e+04,4e+04]"
"6","BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,31200,"(2e+04,4e+04]"
"7","BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",26,17,3916,44100,"(4e+04,6e+04]"
"8","BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39300,"(2e+04,4e+04]"
"9","BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,36900,"(2e+04,4e+04]"
"10","BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",27,18,3916,37200,"(2e+04,4e+04]"
"11","BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39600,"(2e+04,4e+04]"
"12","BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,3916,31500,"(2e+04,4e+04]"
"13","BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,44400,"(4e+04,6e+04]"
"14","BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,19,3916,37200,"(2e+04,4e+04]"
"15","BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,3916,31500,"(2e+04,4e+04]"
"16","BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,18,3916,48250,"(4e+04,6e+04]"
"17","BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,43550,"(4e+04,6e+04]"
"33","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,27495,"(2e+04,4e+04]"
"34","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,24995,"(2e+04,4e+04]"
"35","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,28195,"(2e+04,4e+04]"
"42","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,32850,"(2e+04,4e+04]"
"43","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury","Compact","Convertible",34,23,3916,38650,"(2e+04,4e+04]"
"44","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",31,20,3916,48750,"(4e+04,6e+04]"
"45","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,34850,"(2e+04,4e+04]"
"46","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",34,22,3916,40650,"(4e+04,6e+04]"
"47","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,20,3916,44150,"(4e+04,6e+04]"
"48","BMW","2 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",34,22,3916,32850,"(2e+04,4e+04]"
"49","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",30,20,3916,46150,"(4e+04,6e+04]"
"50","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",30,20,3916,50750,"(4e+04,6e+04]"
"51","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,21,3916,46450,"(4e+04,6e+04]"
"52","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,49050,"(4e+04,6e+04]"
"53","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,51050,"(4e+04,6e+04]"
"54","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",32,21,3916,44450,"(4e+04,6e+04]"
"55","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",34,23,3916,38950,"(2e+04,4e+04]"
"56","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,24,3916,33150,"(2e+04,4e+04]"
"57","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",33,24,3916,35150,"(2e+04,4e+04]"
"58","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",33,23,3916,40950,"(4e+04,6e+04]"
"65","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25170,"(2e+04,4e+04]"
"66","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,23950,"(2e+04,4e+04]"
"67","Chrysler","200",2015,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,29370,"(2e+04,4e+04]"
"68","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995,"(2e+04,4e+04]"
"69","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",36,23,1013,26625,"(2e+04,4e+04]"
"70","Chrysler","200",2015,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,30825,"(2e+04,4e+04]"
"71","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995,"(2e+04,4e+04]"
"72","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27795,"(2e+04,4e+04]"
"73","Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,31785,"(2e+04,4e+04]"
"74","Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,29905,"(2e+04,4e+04]"
"75","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,22490,"(2e+04,4e+04]"
"76","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27570,"(2e+04,4e+04]"
"77","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25690,"(2e+04,4e+04]"
"78","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,24490,"(2e+04,4e+04]"
"79","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,29905,"(2e+04,4e+04]"
"80","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,31785,"(2e+04,4e+04]"
"81","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,26685,"(2e+04,4e+04]"
"82","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,22490,"(2e+04,4e+04]"
"83","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25690,"(2e+04,4e+04]"
"84","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,30900,"(2e+04,4e+04]"
"85","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27795,"(2e+04,4e+04]"
"86","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995,"(2e+04,4e+04]"
"87","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,24490,"(2e+04,4e+04]"
"97","Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3713,"(0,1e+04]"
"98","Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3520,"(0,1e+04]"
"99","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3910,"(0,1e+04]"
"100","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,4182,"(0,1e+04]"
"101","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,4107,"(0,1e+04]"
"102","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4299,"(0,1e+04]"
"103","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4693,"(0,1e+04]"
